,Word 1,Word 2,Human (mean),w2v
0,love,sex,6.77,0.26393771171569824
1,tiger,cat,7.35,0.5172961950302124
2,tiger,tiger,10.0,0.9999999403953552
3,book,paper,7.46,0.3634625971317291
4,computer,keyboard,7.62,0.3963916301727295
5,computer,internet,7.58,0.4068623185157776
6,plane,car,5.77,0.37796980142593384
7,train,car,6.31,0.34025609493255615
8,telephone,communication,7.5,0.3321845233440399
9,television,radio,6.77,0.6114971041679382
10,media,radio,7.42,0.3899160921573639
11,drug,abuse,6.85,0.24085767567157745
12,bread,butter,6.19,0.6417260766029358
13,cucumber,potato,5.92,0.5678561925888062
14,doctor,nurse,7.0,0.6319523453712463
15,professor,doctor,6.62,0.21336083114147186
16,student,professor,6.81,0.4206618070602417
17,smart,student,4.62,0.06630216538906097
18,smart,stupid,5.81,0.47047194838523865
19,company,stock,7.08,0.3415686786174774
20,stock,market,8.08,0.4680556058883667
21,stock,phone,1.62,0.12326755374670029
22,stock,CD,1.31,0.06611791253089905
23,stock,jaguar,0.92,0.03606691211462021
24,stock,egg,1.81,0.10417767614126205
25,fertility,egg,6.69,0.256523460149765
26,stock,live,3.73,0.04447176307439804
27,stock,life,0.92,0.07456468045711517
28,book,library,7.46,0.324531227350235
29,bank,money,8.12,0.26132065057754517
30,wood,forest,7.73,0.4175162613391876
31,money,cash,9.15,0.6151220202445984
32,professor,cucumber,0.31,0.056618139147758484
33,king,cabbage,0.23,0.11813170462846756
34,king,queen,8.58,0.6510956883430481
35,king,rook,5.92,0.20875592529773712
36,bishop,rabbi,6.69,0.42778125405311584
37,Jerusalem,Israel,8.46,0.6638747453689575
38,Jerusalem,Palestinian,7.65,0.6342512369155884
39,holy,sex,1.62,0.10070593655109406
40,fuck,sex,9.44,0.22339172661304474
41,Maradona,football,8.62,0.28883829712867737
42,football,soccer,9.03,0.731354832649231
43,football,basketball,6.81,0.6682467460632324
44,football,tennis,6.63,0.5051178932189941
45,tennis,racket,7.56,0.3920080065727234
46,Arafat,peace,6.73,0.31498637795448303
47,Arafat,terror,7.65,0.3215480446815491
48,Arafat,Jackson,2.5,0.24712517857551575
49,law,lawyer,8.38,0.3446577191352844
50,movie,star,7.38,0.26419904828071594
51,movie,popcorn,6.19,0.44535526633262634
52,movie,critic,6.73,0.17430326342582703
53,movie,theater,7.92,0.47419044375419617
54,physics,proton,8.12,0.3664059340953827
55,physics,chemistry,7.35,0.43719831109046936
56,space,chemistry,4.88,0.0802517831325531
57,alcohol,chemistry,5.54,0.08876197040081024
58,vodka,gin,8.46,0.5971749424934387
59,vodka,brandy,8.13,0.6881492733955383
60,drink,car,3.04,0.24563539028167725
61,drink,ear,1.31,0.09346937388181686
62,drink,mouth,5.96,0.1730400174856186
63,drink,eat,6.87,0.5070200562477112
64,baby,mother,7.85,0.5839769840240479
65,drink,mother,2.65,0.15679939091205597
66,car,automobile,8.94,0.5838367938995361
67,gem,jewel,8.96,0.6210811138153076
68,journey,voyage,9.29,0.6830852627754211
69,boy,lad,8.83,0.588615894317627
70,coast,shore,9.1,0.5083667039871216
71,asylum,madhouse,8.87,0.2525393068790436
72,magician,wizard,9.02,0.48634958267211914
73,midday,noon,9.29,0.5527406930923462
74,furnace,stove,8.79,0.6083910465240479
75,food,fruit,7.52,0.37409260869026184
76,bird,cock,7.1,0.36290243268013
77,bird,crane,7.38,0.30286192893981934
78,tool,implement,6.46,0.2123422771692276
79,brother,monk,6.27,0.22320020198822021
80,crane,implement,2.69,0.023186152800917625
81,lad,brother,4.46,0.3595924973487854
82,journey,car,5.85,0.09849625825881958
83,monk,oracle,5.0,0.30354034900665283
84,cemetery,woodland,2.08,0.3819250762462616
85,food,rooster,4.42,0.1183064728975296
86,coast,hill,4.38,0.1611577570438385
87,forest,graveyard,1.85,0.22901122272014618
88,shore,woodland,3.08,0.116909459233284
89,monk,slave,0.92,0.19146227836608887
90,coast,forest,3.15,0.23609790205955505
91,lad,wizard,0.92,0.33023008704185486
92,chord,smile,0.54,0.14869236946105957
93,glass,magician,2.08,0.0372249074280262
94,noon,string,0.54,0.021654512733221054
95,rooster,voyage,0.62,0.06275810301303864
96,money,dollar,8.42,0.3135657012462616
97,money,cash,9.08,0.6151220202445984
98,money,currency,9.04,0.16010122001171112
99,money,wealth,8.27,0.3295103907585144
100,money,property,7.57,0.26824456453323364
101,money,possession,7.29,0.05318267643451691
102,money,bank,8.5,0.26132065057754517
103,money,deposit,7.73,0.2604113817214966
104,money,withdrawal,6.88,0.05602632835507393
105,money,laundering,5.65,0.2523637115955353
106,money,operation,3.31,0.0845692902803421
107,tiger,jaguar,8.0,0.5528684258460999
108,tiger,feline,8.0,0.4267144799232483
109,tiger,carnivore,7.08,0.42893752455711365
110,tiger,mammal,6.85,0.49644744396209717
111,tiger,animal,7.0,0.5096532702445984
112,tiger,organism,4.77,0.06294278800487518
113,tiger,fauna,5.62,0.3297567069530487
114,tiger,zoo,5.87,0.4692454934120178
115,psychology,psychiatry,8.08,0.555628776550293
116,psychology,anxiety,7.0,0.2719924747943878
117,psychology,fear,6.85,0.17129430174827576
118,psychology,depression,7.42,0.3135565519332886
119,psychology,clinic,6.58,0.12102102488279343
120,psychology,doctor,6.42,0.19066518545150757
121,psychology,Freud,8.21,0.3330824673175812
122,psychology,mind,7.69,0.25049886107444763
123,psychology,health,7.23,0.17619234323501587
124,psychology,science,6.71,0.4808834493160248
125,psychology,discipline,5.58,0.2597163915634155
126,psychology,cognition,7.48,0.3995116055011749
127,planet,star,8.45,0.19317105412483215
128,planet,constellation,8.06,0.39312952756881714
129,planet,moon,8.08,0.5024791955947876
130,planet,sun,8.02,0.3206743597984314
131,planet,galaxy,8.11,0.6338510513305664
132,planet,space,7.92,0.28036749362945557
133,planet,astronomer,7.94,0.30787551403045654
134,precedent,example,5.85,0.37273746728897095
135,precedent,information,3.85,0.08866602927446365
136,precedent,cognition,2.81,-0.02056960202753544
137,precedent,law,6.65,0.34597015380859375
138,precedent,collection,2.5,0.03283146396279335
139,precedent,group,1.77,0.07681482285261154
140,precedent,antecedent,6.04,0.2837713658809662
141,cup,coffee,6.58,0.3560178279876709
142,cup,tableware,6.85,0.1948634535074234
143,cup,article,2.4,0.08339212834835052
144,cup,artifact,2.92,0.0336991585791111
145,cup,object,3.69,0.10605283081531525
146,cup,entity,2.15,0.0347922146320343
147,cup,drink,7.25,0.35322168469429016
148,cup,food,5.0,0.09379564970731735
149,cup,substance,1.92,0.12556417286396027
150,cup,liquid,5.9,0.25183939933776855
151,jaguar,cat,7.42,0.405486524105072
152,jaguar,car,7.27,0.13319405913352966
153,energy,secretary,1.81,0.09282553195953369
154,secretary,senate,5.06,0.23210789263248444
155,energy,laboratory,5.09,0.11277154088020325
156,computer,laboratory,6.78,0.2875465452671051
157,weapon,secret,6.06,0.2584390640258789
158,FBI,fingerprint,6.94,0.337899774312973
159,FBI,investigation,8.31,0.4171352982521057
160,investigation,effort,4.59,0.23487988114356995
161,Mars,water,2.94,0.13637155294418335
162,Mars,scientist,5.63,0.17972102761268616
163,news,report,8.16,0.3123636245727539
164,canyon,landscape,7.53,0.24369584023952484
165,image,surface,4.56,0.12843585014343262
166,discovery,space,6.34,0.04125640168786049
167,water,seepage,6.56,0.39313432574272156
168,sign,recess,2.38,0.0480511449277401
169,Wednesday,news,2.22,0.26014822721481323
170,mile,kilometer,8.66,0.7258477807044983
171,computer,news,4.47,0.1039980947971344
172,territory,surface,5.34,0.1395847350358963
173,atmosphere,landscape,3.69,0.2697125971317291
174,president,medal,3.0,0.06946566700935364
175,war,troops,8.13,0.47614771127700806
176,record,number,6.31,0.22208692133426666
177,skin,eye,6.22,0.3397478759288788
178,Japanese,American,6.5,0.41248849034309387
179,theater,history,3.91,0.12982811033725739
180,volunteer,motto,2.56,0.19127662479877472
181,prejudice,recognition,3.0,0.11657064408063889
182,decoration,valor,5.63,0.322715699672699
183,century,year,7.59,0.3348371386528015
184,century,nation,3.16,0.2919147312641144
185,delay,racism,1.19,0.023803042247891426
186,delay,news,3.31,0.12586815655231476
187,minister,party,6.63,0.1715518683195114
188,peace,plan,4.75,0.11900727450847626
189,minority,peace,3.69,0.06868559122085571
190,attempt,peace,4.25,0.06137871742248535
191,government,crisis,6.56,0.29561758041381836
192,deployment,departure,4.25,0.2766171097755432
193,deployment,withdrawal,5.88,0.40605053305625916
194,energy,crisis,5.94,0.13847880065441132
195,announcement,news,7.56,0.4673331081867218
196,announcement,effort,2.75,0.23130609095096588
197,stroke,hospital,7.03,0.23570407927036285
198,disability,death,5.47,0.275210976600647
199,victim,emergency,6.47,0.17580635845661163
200,treatment,recovery,7.91,0.2493065744638443
201,journal,association,4.97,0.16295820474624634
202,doctor,personnel,5.0,0.1610165387392044
203,doctor,liability,5.19,0.06116039678454399
204,liability,insurance,7.03,0.45244455337524414
205,school,center,3.44,0.14268210530281067
206,reason,hypertension,2.31,0.07555149495601654
207,reason,criterion,5.91,0.3923366069793701
208,hundred,percent,7.38,0.18021871149539948
209,Harvard,Yale,8.13,0.7817695736885071
210,hospital,infrastructure,4.63,0.14553327858448029
211,death,row,5.25,0.1561247855424881
212,death,inmate,5.03,0.2757277190685272
213,lawyer,evidence,6.69,0.198607936501503
214,life,death,7.88,0.3618776500225067
215,life,term,4.5,0.2267606258392334
216,word,similarity,4.75,0.09658686071634293
217,board,recommendation,4.47,0.321181058883667
218,governor,interview,3.25,0.11880447715520859
219,OPEC,country,5.63,0.1194894015789032
220,peace,atmosphere,3.69,0.13366280496120453
221,peace,insurance,2.94,0.09818776696920395
222,territory,kilometer,5.28,0.1540842354297638
223,travel,activity,5.0,0.12772588431835175
224,competition,price,6.44,0.17668065428733826
225,consumer,confidence,4.13,0.19126538932323456
226,consumer,energy,4.75,0.2461671233177185
227,problem,airport,2.38,0.10208497941493988
228,car,flight,4.94,0.14423443377017975
229,credit,card,8.06,0.2681569457054138
230,credit,information,5.31,0.11662980914115906
231,hotel,reservation,8.03,0.3028254210948944
232,grocery,money,5.94,0.12704519927501678
233,registration,arrangement,6.0,0.11914842575788498
234,arrangement,accommodation,5.41,0.2305612564086914
235,month,hotel,1.81,0.12591950595378876
236,type,kind,8.97,0.6666411757469177
237,arrival,hotel,6.0,0.15935498476028442
238,bed,closet,6.72,0.4319477379322052
239,closet,clothes,8.0,0.4177303910255432
240,situation,conclusion,4.81,0.1847420334815979
241,situation,isolation,3.88,0.20984451472759247
242,impartiality,interest,5.16,0.20375370979309082
243,direction,combination,2.25,0.09585042297840118
244,street,place,6.44,0.17753030359745026
245,street,avenue,8.88,0.38327035307884216
246,street,block,6.88,0.26695922017097473
247,street,children,4.94,0.15370693802833557
248,listing,proximity,2.56,0.1236044391989708
249,listing,category,6.38,0.11038406193256378
250,cell,phone,7.81,0.28629881143569946
251,production,hike,1.75,0.018261171877384186
252,benchmark,index,4.25,0.4951688349246979
253,media,trading,3.88,0.12612035870552063
254,media,gain,2.88,0.10171880573034286
255,dividend,payment,7.63,0.2785915434360504
256,dividend,calculation,6.48,0.15065298974514008
257,calculation,computation,8.44,0.6076956391334534
258,currency,market,7.5,0.3382996618747711
259,OPEC,oil,8.59,0.5333777070045471
260,oil,stock,6.34,0.2203981876373291
261,announcement,production,3.38,0.08066592365503311
262,announcement,warning,6.0,0.24619010090827942
263,profit,warning,3.88,0.13709336519241333
264,profit,loss,7.63,0.3419945538043976
265,dollar,yen,7.78,0.574535608291626
266,dollar,buck,9.22,0.2562117278575897
267,dollar,profit,7.38,0.25337401032447815
268,dollar,loss,6.09,0.026566719636321068
269,computer,software,8.5,0.5444109439849854
270,network,hardware,8.31,0.29377812147140503
271,phone,equipment,7.13,0.1377403885126114
272,equipment,maker,5.91,0.20798200368881226
273,luxury,car,6.47,0.2445117086172104
274,five,month,3.38,0.40400832891464233
275,report,gain,3.63,0.09995908290147781
276,investor,earning,7.13,0.0034081507474184036
277,liquid,water,7.89,0.3653528094291687
278,baseball,season,5.97,0.2622438371181488
279,game,victory,7.03,0.3314371109008789
280,game,team,7.69,0.496656209230423
281,marathon,sprint,7.47,0.4636158049106598
282,game,series,6.19,0.29130786657333374
283,game,defeat,6.97,0.3329891562461853
284,seven,series,3.56,0.3310062289237976
285,seafood,sea,7.47,0.31509068608283997
286,seafood,food,8.34,0.5295587778091431
287,seafood,lobster,8.7,0.6544079780578613
288,lobster,food,7.81,0.30510467290878296
289,lobster,wine,5.7,0.3194861114025116
290,food,preparation,6.22,0.17799316346645355
291,video,archive,6.34,0.17350749671459198
292,start,year,4.06,0.190186008810997
293,start,match,4.47,0.24805228412151337
294,game,round,5.97,0.272222101688385
295,boxing,round,7.61,0.177592471241951
296,championship,tournament,8.36,0.6655316948890686
297,fighting,defeating,7.41,0.3445202708244324
298,line,insurance,2.69,0.08391069620847702
299,day,summer,3.94,0.4481316804885864
300,summer,drought,7.16,0.1637890487909317
301,summer,nature,5.63,0.12260760366916656
302,day,dawn,7.53,0.3310857117176056
303,nature,environment,8.31,0.4028488099575043
304,environment,ecology,8.81,0.42997628450393677
305,nature,man,6.25,0.11616960912942886
306,man,woman,8.3,0.7664012312889099
307,man,governor,5.25,0.15232418477535248
308,murder,manslaughter,8.53,0.6057650446891785
309,soap,opera,7.94,0.1955799013376236
310,opera,performance,6.88,0.17167465388774872
311,life,lesson,5.94,0.1925290822982788
312,focus,life,4.06,0.14205680787563324
313,production,crew,6.25,0.17930841445922852
314,television,film,7.72,0.34557005763053894
315,lover,quarrel,6.19,0.23226581513881683
316,viewer,serial,2.97,0.23336464166641235
317,possibility,girl,1.94,0.060037761926651
318,population,development,3.75,0.17502303421497345
319,morality,importance,3.31,0.2053404152393341
320,morality,marriage,3.69,0.30624136328697205
321,Mexico,Brazil,7.44,0.49549198150634766
322,gender,equality,6.41,0.5059923529624939
323,change,attitude,5.44,0.2514270544052124
324,family,planning,6.25,0.1914883255958557
325,opera,industry,2.63,0.04291349649429321
326,sugar,approach,0.88,0.007720563095062971
327,practice,institution,3.19,0.09677622467279434
328,ministry,culture,4.69,0.1877954602241516
329,problem,challenge,6.75,0.4629537761211395
330,size,prominence,5.31,0.1337670534849167
331,country,citizen,7.31,0.20985934138298035
332,planet,people,5.75,0.08704742044210434
333,development,issue,3.97,0.09010776877403259
334,experience,music,3.47,0.16575714945793152
335,music,project,3.63,0.02134612202644348
336,glass,metal,5.56,0.37073972821235657
337,aluminum,metal,7.83,0.6375763416290283
338,chance,credibility,3.88,0.23921890556812286
339,exhibit,memorabilia,5.31,0.3025929629802704
340,concert,virtuoso,6.81,0.28570184111595154
341,rock,jazz,7.59,0.45277103781700134
342,museum,theater,7.19,0.33256372809410095
343,observation,architecture,4.38,0.1362939476966858
344,space,world,6.53,0.12962709367275238
345,preservation,world,6.19,-0.021470624953508377
346,admission,ticket,7.69,0.4368831515312195
347,shower,thunderstorm,6.31,0.3426947295665741
348,shower,flood,6.03,0.12947934865951538
349,weather,forecast,8.34,0.3627207279205322
350,disaster,area,6.25,0.145228311419487
351,governor,office,6.34,0.29663556814193726
352,architecture,century,3.78,0.1430933028459549
